[2024-09-03 18:20:49.506] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.548] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.588] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.590] [info] odom: [x 2.3279, y -14.2725, yaw 0.0869] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.613] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.669] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.676] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.714] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.755] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.766] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.787] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.806] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.827] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.849] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.878] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.885] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.913] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.925] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.948] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.970] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:49.993] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.027] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.036] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.050] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.078] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.146] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.151] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.193] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.217] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.259] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.260] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.289] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.316] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.361] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.361] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.401] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.407] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:50.459] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
