[2024-09-04 10:08:50.811] [info] odom: [x 1.1107, y -13.4354, yaw -2.4090] vel: [v 0.0000, w 0.5000] estimate: [x 6.9036, y -14.9960, yaw -2.3785] encoder: [x -2.7518, y -13.5647, yaw -1.4253]
[2024-09-04 10:08:50.826] [info] odom: [x 1.1108, y -13.4354, yaw -2.3993] vel: [v 0.0000, w 0.5000] estimate: [x 6.9036, y -14.9960, yaw -2.3677] encoder: [x -2.7518, y -13.5647, yaw -1.4179]
[2024-09-04 10:08:50.845] [info] odom: [x 1.1108, y -13.4354, yaw -2.3919] vel: [v 0.0000, w 0.5000] estimate: [x 6.9037, y -14.9959, yaw -2.3580] encoder: [x -2.7519, y -13.5639, yaw -1.4070]
[2024-09-04 10:08:50.890] [info] odom: [x 1.1109, y -13.4353, yaw -2.3822] vel: [v 0.0000, w 0.5000] estimate: [x 6.9037, y -14.9959, yaw -2.3506] encoder: [x -2.7518, y -13.5648, yaw -1.3956]
[2024-09-04 10:08:50.909] [info] odom: [x 1.1110, y -13.4352, yaw -2.3712] vel: [v 0.0000, w 0.5000] estimate: [x 6.9032, y -14.9958, yaw -2.3301] encoder: [x -2.7518, y -13.5648, yaw -1.3884]
[2024-09-04 10:08:50.927] [info] odom: [x 1.1110, y -13.4352, yaw -2.3631] vel: [v 0.0000, w 0.5000] estimate: [x 6.9023, y -14.9957, yaw -2.3221] encoder: [x -2.7518, y -13.5648, yaw -1.3884]
[2024-09-04 10:08:50.927] [info] odom: [x 1.1110, y -13.4351, yaw -2.3519] vel: [v 0.0000, w 0.5000] estimate: [x 6.9023, y -14.9957, yaw -2.3221] encoder: [x -2.7518, y -13.5648, yaw -1.3884]
[2024-09-04 10:08:50.956] [info] odom: [x 1.1110, y -13.4351, yaw -2.3422] vel: [v 0.0000, w 0.5000] estimate: [x 6.9010, y -14.9957, yaw -2.3111] encoder: [x -2.7517, y -13.5649, yaw -1.3586]
[2024-09-04 10:08:50.962] [info] odom: [x 1.1110, y -13.4351, yaw -2.3338] vel: [v 0.0000, w 0.5000] estimate: [x 6.9004, y -14.9957, yaw -2.3015] encoder: [x -2.7519, y -13.5640, yaw -1.3471]
[2024-09-04 10:08:50.965] [info] odom: [x 1.1110, y -13.4351, yaw -2.3224] vel: [v 0.0000, w 0.5000] estimate: [x 6.9004, y -14.9957, yaw -2.3015] encoder: [x -2.7519, y -13.5640, yaw -1.3395]
